ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Type,Unnamed: 8,Unnamed: 9
1,16.76,4.57,0.0,22.86,4.57,0.0,Normal,,
2,10.67,10.67,0.0,16.76,4.57,0.0,Normal,,
3,10.67,16.76,0.0,10.67,10.67,0.0,Normal,,
4,4.57,22.86,0.0,10.67,16.76,0.0,Normal,,
5,10.67,16.76,0.0,16.76,22.86,0.0,Normal,,
6,16.76,22.86,0.0,22.86,22.86,0.0,Normal,,
7,16.76,22.86,0.0,16.76,28.96,0.0,Normal,,
8,10.67,28.96,0.0,4.57,22.86,0.0,Normal,,
9,16.76,35.05,0.0,10.67,28.96,0.0,Normal,,
10,16.76,28.96,0.0,16.76,35.05,0.0,Normal,,
11,16.76,35.05,0.0,10.67,39.01,0.0,Normal,,
12,10.67,39.01,0.0,16.76,45.11,0.0,Normal,,
13,16.76,45.11,0.0,16.76,51.21,0.0,Normal,,
14,16.76,45.11,0.0,22.86,39.01,0.0,Normal,,
15,22.86,39.01,0.0,22.86,35.05,0.0,Normal,,
16,22.86,35.05,0.0,28.96,35.05,0.0,Normal,,
17,28.96,35.05,0.0,28.96,39.01,0.0,Normal,,
18,28.96,39.01,0.0,35.05,45.11,0.0,Normal,,
19,35.05,45.11,0.0,35.05,51.21,0.0,Normal,,
20,35.05,51.21,0.0,28.96,57.3,0.0,Normal,,
21,28.96,57.3,0.0,22.86,57.3,0.0,Normal,,
22,16.76,51.21,0.0,22.86,57.3,0.0,Normal,,
23,16.76,51.21,0.0,10.67,57.3,0.0,Normal,,
24,10.67,57.3,0.0,16.76,63.4,0.0,Normal,,
25,16.76,63.4,0.0,16.76,69.49,0.0,Normal,,
26,16.76,69.49,0.0,22.86,69.49,0.0,Normal,,
27,22.86,69.49,0.0,28.96,75.59,0.0,Normal,,
28,28.96,75.59,0.0,35.05,75.59,0.0,Normal,,
29,22.86,69.49,0.0,28.96,63.4,0.0,Normal,,
30,28.96,57.3,0.0,28.96,63.4,0.0,Normal,,
31,35.05,51.21,0.0,41.15,57.3,0.0,Normal,,
32,41.15,57.3,0.0,41.15,63.4,0.0,Normal,,
33,41.15,63.4,0.0,47.24,69.49,0.0,Normal,,
34,47.24,69.49,0.0,41.15,69.49,0.0,Normal,,
35,35.05,75.59,0.0,41.15,69.49,0.0,Normal,,
36,47.24,69.49,0.0,51.21,63.4,0.0,Normal,,
37,51.21,63.4,0.0,57.3,63.4,0.0,Normal,,
38,57.3,63.4,0.0,57.3,69.49,0.0,Normal,,
39,57.3,69.49,0.0,63.4,69.49,0.0,Normal,,
40,63.4,69.49,0.0,69.49,69.49,0.0,Normal,,
41,69.49,69.49,0.0,75.59,63.4,0.0,Normal,,
42,75.59,63.4,0.0,81.69,69.49,0.0,Normal,,
43,81.69,69.49,0.0,81.69,75.59,0.0,Normal,,
44,81.69,69.49,0.0,87.78,69.49,0.0,Normal,,
45,87.78,69.49,0.0,93.88,63.4,0.0,Normal,,
46,93.88,63.4,0.0,87.78,57.3,0.0,Normal,,
47,87.78,57.3,0.0,87.78,51.21,0.0,Normal,,
48,87.78,51.21,0.0,93.88,45.11,0.0,Normal,,
49,81.69,51.21,0.0,75.59,51.21,0.0,Normal,,
50,75.59,51.21,0.0,75.59,57.3,0.0,Normal,,
51,75.59,57.3,0.0,69.49,63.4,0.0,Normal,,
52,75.59,63.4,0.0,69.49,63.4,0.0,Normal,,
53,69.49,63.4,0.0,63.4,57.3,0.0,Normal,,
54,63.4,57.3,0.0,57.3,57.3,0.0,Normal,,
55,57.3,57.3,0.0,51.21,51.21,0.0,Normal,,
56,41.15,57.3,0.0,47.24,57.3,0.0,Normal,,
57,51.21,51.21,0.0,47.24,57.3,0.0,Normal,,
58,51.21,51.21,0.0,47.24,45.11,0.0,Normal,,
59,47.24,45.11,0.0,47.24,39.01,0.0,Normal,,
60,47.24,39.01,0.0,41.15,35.05,0.0,Normal,,
61,41.15,35.05,0.0,35.05,39.01,0.0,Normal,,
62,35.05,45.11,0.0,35.05,39.01,0.0,Normal,,
63,28.96,35.05,0.0,35.05,28.96,0.0,Normal,,
64,22.86,22.86,0.0,28.96,28.96,0.0,Normal,,
65,22.86,22.86,0.0,22.86,16.76,0.0,Normal,,
66,22.86,16.76,0.0,28.96,10.67,0.0,Normal,,
67,22.86,4.57,0.0,28.96,10.67,0.0,Normal,,
68,28.96,10.67,0.0,35.05,16.76,0.0,Normal,,
69,35.05,28.96,0.0,35.05,22.86,0.0,Normal,,
70,35.05,22.86,0.0,41.15,16.76,0.0,Normal,,
71,35.05,28.96,0.0,41.15,28.96,0.0,Normal,,
72,41.15,35.05,0.0,41.15,28.96,0.0,Normal,,
73,41.15,28.96,0.0,47.24,22.86,0.0,Normal,,
74,41.15,16.76,0.0,47.24,22.86,0.0,Normal,,
75,41.15,35.05,0.0,47.24,35.05,0.0,Normal,,
76,47.24,35.05,0.0,51.21,28.96,0.0,Normal,,
77,47.24,22.86,0.0,51.21,28.96,0.0,Normal,,
78,51.21,28.96,0.0,57.3,28.96,0.0,Normal,,
79,41.15,16.76,0.0,47.24,10.67,0.0,Normal,,
80,47.24,10.67,0.0,47.24,4.57,0.0,Normal,,
81,35.05,16.76,0.0,41.15,16.76,0.0,Normal,,
82,57.3,28.96,0.0,57.3,22.86,0.0,Normal,,
83,57.3,22.86,0.0,63.4,16.76,0.0,Normal,,
84,63.4,16.76,0.0,63.4,10.67,0.0,Normal,,
85,63.4,10.67,0.0,57.3,4.57,0.0,Normal,,
86,57.3,4.57,0.0,51.21,4.57,0.0,Normal,,
87,75.59,51.21,0.0,69.49,45.11,0.0,Normal,,
88,69.49,45.11,0.0,69.49,39.01,0.0,Normal,,
89,69.49,39.01,0.0,63.4,35.05,0.0,Normal,,
90,63.4,35.05,0.0,63.4,39.01,0.0,Normal,,
91,63.4,39.01,0.0,57.3,45.11,0.0,Normal,,
92,51.21,51.21,0.0,57.3,45.11,0.0,Normal,,
93,63.4,35.05,0.0,69.49,28.96,0.0,Normal,,
94,69.49,28.96,0.0,75.59,28.96,0.0,Normal,,
95,63.4,16.76,0.0,69.49,16.76,0.0,Normal,,
96,69.49,16.76,0.0,75.59,22.86,0.0,Normal,,
97,75.59,28.96,0.0,75.59,22.86,0.0,Normal,,
98,75.59,28.96,0.0,81.69,35.05,0.0,Normal,,
99,81.69,35.05,0.0,87.78,35.05,0.0,Normal,,
100,87.78,35.05,0.0,93.88,39.01,0.0,Normal,,
101,93.88,45.11,0.0,93.88,39.01,0.0,Normal,,
102,87.78,35.05,0.0,87.78,28.96,0.0,Normal,,
103,87.78,28.96,0.0,93.88,22.86,0.0,Normal,,
104,93.88,22.86,0.0,99.97,22.86,0.0,Normal,,
105,63.4,10.67,0.0,69.49,10.67,0.0,Normal,,
106,69.49,10.67,0.0,75.59,4.57,0.0,Normal,,
107,75.59,4.57,0.0,81.69,4.57,0.0,Normal,,
108,81.69,4.57,0.0,87.78,10.67,0.0,Normal,,
109,87.78,10.67,0.0,93.88,10.67,0.0,Normal,,
110,75.59,22.86,0.0,81.69,16.76,0.0,Normal,,
111,81.69,16.76,0.0,87.78,16.76,0.0,Normal,,
112,93.88,10.67,0.0,87.78,16.76,0.0,Normal,,
113,93.88,10.67,0.0,99.97,16.76,0.0,Normal,,
114,10.67,57.3,0.0,4.57,57.3,0.0,Normal,,
115,51.21,4.57,0.0,47.24,4.57,0.0,Normal,,
116,63.4,35.05,0.0,57.3,28.96,0.0,Normal,,
117,99.97,22.86,0.0,99.97,16.76,0.0,Normal,,
118,28.96,35.05,0.0,28.96,28.96,0.0,Normal,,
119,81.69,69.49,0.0,75.59,75.59,0.0,Normal,,
120,81.69,69.49,0.0,81.69,63.4,0.0,Normal,,
121,75.59,57.3,0.0,81.69,63.4,0.0,Normal,,
122,87.78,51.21,0.0,81.69,51.21,0.0,Normal,,
123,75.59,57.3,0.0,81.69,51.21,0.0,Normal,,
124,81.69,51.21,0.0,81.69,45.11,0.0,Normal,,
125,81.69,45.11,0.0,81.69,39.01,0.0,Normal,,
126,81.69,35.05,0.0,81.69,39.01,0.0,Normal,,
127,81.69,45.11,0.0,87.78,39.01,0.0,Normal,,
128,93.88,39.01,0.0,87.78,39.01,0.0,Normal,,
129,93.88,39.01,0.0,99.97,45.11,0.0,Normal,,
130,75.59,22.86,0.0,81.69,22.86,0.0,Normal,,
131,87.78,16.76,0.0,81.69,22.86,0.0,Normal,,
132,93.88,22.86,0.0,87.78,16.76,0.0,Normal,,
133,75.59,22.86,0.0,75.59,16.76,0.0,Normal,,
134,75.59,16.76,0.0,81.69,10.67,0.0,Normal,,
135,81.69,4.57,0.0,81.69,10.67,0.0,Normal,,
136,57.3,69.49,0.0,57.3,75.59,0.0,Normal,,
137,57.3,75.59,0.0,53.99,78.3,0.0,Intercom,,
138,77.44,78.3,0.0,75.59,75.59,0.0,Intercom,,
139,57.3,63.4,0.0,51.21,57.3,0.0,Normal,,
140,51.21,51.21,0.0,51.21,57.3,0.0,Normal,,
141,57.3,45.11,0.0,51.21,39.01,0.0,Normal,,
142,47.24,39.01,0.0,51.21,39.01,0.0,Normal,,
143,57.3,45.11,0.0,57.3,39.01,0.0,Normal,,
144,57.3,39.01,0.0,51.21,35.05,0.0,Normal,,
145,51.21,28.96,0.0,51.21,35.05,0.0,Normal,,
146,51.21,28.96,0.0,51.21,22.86,0.0,Normal,,
147,57.3,22.86,0.0,51.21,22.86,0.0,Normal,,
148,51.21,22.86,0.0,57.3,16.76,0.0,Normal,,
149,57.3,16.76,0.0,57.3,10.67,0.0,Normal,,
150,57.3,4.57,0.0,57.3,10.67,0.0,Normal,,
151,57.3,4.57,0.0,54.47,1.93,0.0,Intercom,,
152,28.96,75.59,0.0,26.48,78.3,0.0,Intercom,,
153,26.48,78.3,0.0,22.86,75.59,0.0,Intercom,,
154,81.69,4.57,0.0,79.29,2.09,0.0,Intercom,,
155,22.86,69.49,0.0,22.86,75.59,0.0,Normal,,
156,22.86,57.3,0.0,28.96,63.4,0.0,Normal,,
157,22.86,57.3,0.0,28.96,51.21,0.0,Normal,,
158,28.96,51.21,0.0,28.96,45.11,0.0,Normal,,
159,28.96,39.01,0.0,28.96,45.11,0.0,Normal,,
160,22.86,35.05,0.0,28.96,39.01,0.0,Normal,,
161,22.86,35.05,0.0,22.86,28.96,0.0,Normal,,
162,22.86,28.96,0.0,28.96,22.86,0.0,Normal,,
163,22.86,16.76,0.0,28.96,22.86,0.0,Normal,,
164,28.96,22.86,0.0,28.96,16.76,0.0,Normal,,
165,28.96,16.76,0.0,22.86,10.67,0.0,Normal,,
166,22.86,4.57,0.0,22.86,10.67,0.0,Normal,,
167,22.86,4.57,0.0,25.64,1.93,0.0,Intercom,,
168,4.57,22.86,0.0,2.8,20.14,0.0,Intercom,,
169,4.57,22.86,0.0,10.67,22.86,0.0,Normal,,
170,16.76,22.86,0.0,10.67,22.86,0.0,Normal,,
171,16.76,22.86,0.0,22.86,16.76,0.0,Normal,,
172,35.05,16.76,0.0,28.96,22.86,0.0,Normal,,
173,41.15,16.76,0.0,47.24,16.76,0.0,Normal,,
174,51.21,22.86,0.0,47.24,16.76,0.0,Normal,,
175,63.4,16.76,0.0,69.49,22.86,0.0,Normal,,
176,75.59,22.86,0.0,69.49,22.86,0.0,Normal,,
177,22.86,39.01,0.0,16.76,39.01,0.0,Normal,,
178,16.76,39.01,0.0,10.67,45.11,0.0,Normal,,
179,10.67,45.11,0.0,4.57,39.01,0.0,Normal,,
180,4.57,39.01,0.0,2.8,42.49,0.0,Intercom,,
181,22.86,39.01,0.0,28.96,45.11,0.0,Normal,,
182,35.05,45.11,0.0,28.96,45.11,0.0,Normal,,
183,35.05,45.11,0.0,41.15,39.01,0.0,Normal,,
184,47.24,39.01,0.0,41.15,39.01,0.0,Normal,,
185,57.3,45.11,0.0,63.4,45.11,0.0,Normal,,
186,69.49,39.01,0.0,63.4,45.11,0.0,Normal,,
187,69.49,39.01,0.0,75.59,45.11,0.0,Normal,,
188,81.69,45.11,0.0,75.59,45.11,0.0,Normal,,
189,4.57,57.3,0.0,2.8,60.19,0.0,Intercom,,
190,4.57,57.3,0.0,10.67,63.4,0.0,Normal,,
191,10.67,63.4,0.0,16.76,57.3,0.0,Normal,,
192,16.76,57.3,0.0,22.86,63.4,0.0,Normal,,
193,28.96,63.4,0.0,22.86,63.4,0.0,Normal,,
194,28.96,63.4,0.0,35.05,63.4,0.0,Normal,,
195,41.15,57.3,0.0,35.05,63.4,0.0,Normal,,
196,51.21,63.4,0.0,47.24,57.3,0.0,Normal,,
197,51.21,63.4,0.0,57.3,57.3,0.0,Normal,,
198,63.4,57.3,0.0,69.49,57.3,0.0,Normal,,
199,75.59,63.4,0.0,69.49,57.3,0.0,Normal,,
200,75.59,63.4,0.0,81.69,63.4,0.0,Normal,,
201,81.69,63.4,0.0,87.78,63.4,0.0,Normal,,
202,87.78,63.4,0.0,93.88,57.3,0.0,Normal,,
203,93.88,57.3,0.0,99.97,57.3,0.0,Normal,,
204,99.97,57.3,0.0,103.1,61.39,0.0,Intercom,,
205,99.97,22.86,0.0,103.1,20.61,0.0,Intercom,,
206,99.97,45.11,0.0,103.1,43.0,0.0,Intercom,,
207,75.59,75.59,0.0,81.69,75.59,0.0,Normal,,
